"date","close","volume","open","high","low"
"2014/08/22","592.5400","876231.0000","593.2700","594.9900","589.8000"
"2014/08/21","592.4200","1131118.0000","594.9000","595.2500","591.1010"
"2014/08/20","595.4100","967253.0000","596.9500","596.9900","593.0010"
"2014/08/19","597.1100","1040746.0000","595.5900","597.8100","594.4400"
"2014/08/18","592.7000","1464370.0000","587.1000","595.0500","586.5500"
"2014/08/15","583.7100","1723366.0000","587.5000","589.4700","580.7600"
"2014/08/14","584.6500","1272369.0000","586.6900","587.8000","580.9200"
"2014/08/13","584.5600","1898211.0000","576.4500","586.1250","575.2000"
"2014/08/12","572.1200","1390807.0000","575.0000","575.9000","569.9100"
"2014/08/11","577.2500","1171290.0000","579.0000","579.6900","575.2980"
"2014/08/08","577.9400","1493324.0000","572.0200","579.5639","569.0200"
"2014/08/07","571.8100","1162124.0000","576.0500","578.3100","569.4300"
"2014/08/06","574.4900","1322760.0000","569.5000","578.6440","567.4500"
"2014/08/05","573.1400","1648328.0000","579.3800","580.2000","570.3100"
"2014/08/04","582.2700","1516299.0000","576.5100","583.8200","572.2600"
"2014/08/01","573.6000","2209772.0000","578.5550","583.4300","570.3000"
"2014/07/31","579.5500","2307214.0000","588.9600","591.9899","577.6800"
"2014/07/30","595.4400","1215052.0000","595.8100","598.4500","592.7000"
"2014/07/29","593.9500","1364289.0000","597.7000","598.4900","592.1700"
"2014/07/28","599.0200","1357713.0000","597.7500","601.0980","592.5900"
"2014/07/25","598.0800","1359950.0000","599.2500","601.0000","595.7500"
"2014/07/24","603.0100","1293149.0000","605.5300","608.9100","601.0000"
"2014/07/23","605.1900","1105900.0000","602.0500","607.0500","601.3500"
"2014/07/22","603.5700","1879176.0000","599.7000","608.8900","599.2576"
"2014/07/21","598.4400","2237320.0000","601.3500","604.1600","594.4500"
"2014/07/18","605.1100","4869149.0000","603.0100","606.7000","590.9200"
"2014/07/17","580.8200","2906223.0000","588.9700","589.5000","576.8500"
