"date","close","volume","open","high","low"
"2014/10/24","548.9000","2172669.0000","554.9800","555.0000","545.1600"
"2014/10/23","553.6500","2150880.0000","548.2800","557.4000","545.5000"
"2014/10/22","542.6900","2973468.0000","541.0500","550.7600","540.2300"
"2014/10/21","538.0300","2459395.0000","537.2700","538.7700","530.2000"
"2014/10/20","532.3800","2747409.0000","520.4500","533.1600","519.1400"
"2014/10/17","522.9700","5992238.0000","540.4500","543.4500","518.4100"
"2014/10/16","536.9200","3784199.0000","527.0000","540.9900","524.9500"
"2014/10/15","540.7300","3808148.0000","542.0800","543.9150","528.4220"
"2014/10/14","548.6900","2608672.0000","550.1400","558.6300","544.5000"
"2014/10/13","544.7500","2751949.0000","555.1300","560.8750","544.4300"
"2014/10/10","555.1900","2978506.0000","567.4700","575.2300","555.0100"
"2014/10/09","570.8100","2407643.0000","581.6100","582.5300","569.0300"
"2014/10/08","583.7400","2206710.0000","574.7900","584.6900","567.6400"
"2014/10/07","574.1000","1544014.0000","584.9000","585.8500","574.1000"
"2014/10/06","587.7800","1285696.0000","589.9500","592.4000","585.4000"
"2014/10/03","586.2500","1211716.0000","584.1000","588.2900","583.5000"
"2014/10/02","580.8800","1541071.0000","578.0000","583.2400","574.0500"
"2014/10/01","579.6300","1447666.0000","586.8000","588.7200","578.0200"
"2014/09/30","588.4100","1571469.0000","587.4900","591.0000","584.5000"
"2014/09/29","587.8100","1142659.0000","581.8300","589.3100","581.5700"
"2014/09/26","587.9000","1288870.0000","585.9300","589.5739","585.0000"
"2014/09/25","585.2500","1665860.0000","596.9900","598.0700","584.7400"
"2014/09/24","598.4200","1757807.0000","591.5700","600.1100","590.3000"
"2014/09/23","591.1800","1401711.0000","595.0000","596.6500","590.2400"
"2014/09/22","597.2700","1782194.0000","602.5000","603.8000","593.1200"
"2014/09/19","605.4000","4184064.0000","599.4900","605.4000","597.7600"
"2014/09/18","597.2700","1493346.0000","595.0500","597.5600","593.0200"
"2014/09/17","593.2900","1711642.0000","589.5100","596.0700","587.1200"
"2014/09/16","588.7800","1578274.0000","580.9500","590.1500","580.9500"
"2014/09/15","581.6400","1544649.0000","582.2400","583.9200","577.0100"
"2014/09/12","584.9000","1848820.0000","590.3900","591.4800","583.2800"
"2014/09/11","591.1100","1499553.0000","590.0000","591.9450","586.0400"
"2014/09/10","593.4200","1156693.0000","591.7400","593.7200","587.1400"
"2014/09/09","591.9700","1571006.0000","600.2700","600.6000","590.4800"
"2014/09/08","601.6300","1598620.0000","599.1400","603.5200","598.0231"
"2014/09/05","597.7800","1798013.0000","595.1300","598.5000","593.5500"
"2014/09/04","593.1400","1630391.0000","592.1300","598.0000","590.6000"
"2014/09/03","589.5200","1578792.0000","591.7300","594.4900","586.5000"
"2014/09/02","588.6300","1581444.0000","582.9500","589.3000","582.4000"
"2014/08/29","582.3600","1205814.0000","582.3500","582.8999","578.2400"
"2014/08/28","580.3200","1405713.0000","580.0200","584.7100","577.8800"
"2014/08/27","583.0000","1363287.0000","587.8100","589.3700","580.9000"
"2014/08/26","588.1200","1470046.0000","592.0000","592.0500","587.4500"
"2014/08/25","590.5700","1295469.0000","594.7700","595.5800","589.2600"
